displacement hp drive weight mpghw mpgcity front.id rear.id
350     255     rear    5250    22.7    15.1    0       1      
293     240     rear    5000    25.5    17.1    0       1      
293     240     4-wheel 5000    23.7    15.6    0       0      
364     300     rear    5500    19.6    12.6    0       1      
152     168     rear    3500    34.3    21.2    0       1      
152     168     rear    3250    33.2    20.9    0       1      
170     190     rear    3500    37.1    22.9    0       1      
170     190     rear    3875    33.2    20.2    0       1      
192     240     rear    3875    32.1    19.2    0       1      
268     282     rear    4000    26.8    18.8    0       1      
268     282     rear    4500    27.1    18.2    0       1      
328     326     rear    5000    25.7    15.1    0       1      
122     140     front   3250    42.3    24.9    1       0      
122     210     4-wheel 3625    35.6    23.7    0       0      
170     194     rear    3625    34.4    22.9    0       1      
260     302     rear    3750    28.9    20.0    0       1      
260     275     rear    3750    31.3    20.3    0       1      
195     215     rear    4000    34.7    21.4    0       1      
195     221     rear    3875    36.6    23.2    0       1      
256     275     rear    5000    27.6    17.2    0       1      
195     215     rear    3625    37.5    23.3    0       1      
213     375     rear    3625    19.6    11.1    0       1      
334     436     rear    4500    20.6    10.9    0       1      
 97     115     front   2750    50.3    37.7    1       0      
 97     106     front   2750    44.9    31.1    1       0      
138     135     front   3375    37.9    24.3    1       0      
183     200     front   3625    36.0    21.8    1       0      
196     225     front   3750    34.8    21.5    1       0      
120     146     front   3375    31.8    25.1    1       0      
120     146     4-wheel 3500    31.8    24.5    0       0      
212     205     front   4500    32.8    19.9    1       0      
121     133     front   3000    38.7    24.0    1       0      
121     133     front   3125    38.1    23.3    1       0      
121     133     front   3000    37.9    24.3    1       0      
213     215     4-wheel 4750    24.6    16.7    0       0      
193     205     rear    4250    26.9    18.5    0       1      
193     205     rear    4250    26.2    20.4    0       1      
244     370     rear    4500    27.9    17.7    0       1      
244     290     rear    4250    30.8    18.6    0       1      
244     370     rear    4250    27.9    18.1    0       1      
122     140     front   3250    36.7    24.2    1       0      
182     190     front   3500    35.8    23.0    1       0      
182     190     front   3500    35.3    22.9    1       0      
252     266     rear    4250    30.7    19.4    0       1      
146     142     rear    3250    35.5    25.0    0       1      
200     170     front   4250    32.0    19.4    1       0      
200     168     rear    4000    24.7    18.5    0       1      
200     168     4-wheel 4500    23.8    16.9    0       0      
278     222     4-wheel 5250    20.6    14.0    0       0      
241     188     4-wheel 5000    21.2    14.6    0       0      
121     185     front   3500    32.4    21.0    1       0      
181     200     front   3875    30.9    19.0    1       0      
 90      92     front   2500    52.2    37.5    1       0      
181     161     front   3625    29.7    20.4    1       0      
143     132     rear    3750    32.2    23.9    0       1      
143     132     rear    3875    31.2    24.5    0       1      
181     173     rear    4500    26.7    20.5    0       1      
 97      98     front   2625    47.1    33.6    1       0      
152     155     rear    3375    27.0    21.2    0       1      
 97      97     rear    2875    35.9    28.0    0       1      
122     127     4-wheel 3125    31.4    24.8    0       0      
122     127     rear    3000    32.0    25.3    0       1      
122     127     4-wheel 3125    31.2    24.6    0       0      
122     125     front   3250    37.5    24.7    1       0      
183     198     front   3750    37.9    23.8    1       0      
183     194     front   3625    35.4    22.1    1       0      
132     130     front   3500    38.1    24.0    1       0      
 91      93     front   2500    41.3    30.2    1       0      
 91      93     front   2625    47.7    32.9    1       0      
108     120     front   2750    42.0    30.9    1       0      
132     130     front   3125    35.9    24.8    1       0      
242     300     rear    4000    31.9    21.2    0       1      
122     127     front   3125    37.0    26.6    1       0      
122     127     4-wheel 3375    34.0    24.3    0       0      
149     142     rear    3000    35.1    24.7    0       1      
164     150     rear    3875    29.8    20.4    0       1      
